Appelation courante;Description;Historique/Anecdotes;Commune;Entité;Adresse actuelle;Latitude;Longitude;Photographies;r_Photographies
Acrotère de l'ancienne écurie Rosoux;Acrotère en fer forgé ornant le sommet du pignon situé au-dessus de l'ancienne porte-cochère.;"L'ancienne maison Rosoux était dénommée Villa Groynne, du nom de la famille qui l'a fait bâtir en 1895 grâce à la vente de leurs actions des chemins de fer en Russie. Par héritage, elle passa à Juliette Groynne (fille de Léon et de Félicie Monjoie), épouse d'André Rosoux. Le 18 juin 1986, la Commune d'Ohey a acheté le bien (3 Ha, 7 A, 8 Ca) à Etienne Rosoux pour 3.756.380 francs.
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, p.14.";Ohey;Ohey;Rue du Tilleul, 95;50.436491;5.120495;Ohey-Cat10.1-AcrotèreEcurieRosoux-AD-01Ohey-Cat10.1-AcrotèreEcurieRosoux-AD-02Ohey-Cat10.1-AcrotèreEcurieRosoux-AD-03;Ohey-Cat10.1-AcrotèreEcurieRosoux-AD
Acrotère de l'ancienne maison Rosoux;En façade principale de la maison, acrotère en pierre calcaire située au sommet du pignon à gradins.;""" Précédée d’une cour limitée d’un muret surmonté de grilles ouvragées, maison bourgeoise de style éclectique élevée en 1895, aujourd’hui investie par les services communaux. Imposant volume cubique, renforcé par le toit à deux versants à croupes et à brisis, souligné d’une corniche en bois sur mutules et percé de lucarnes pignons surmontées d’épis de faîtages. Structurée par des pilastres d’angle bagués au rez-de-chaussée, façade abondamment travaillée, jouant sur l’effet chromatique des matériaux et le décor de terre cuite formant, à l’étage, les panneaux d’allège et le tympan où s’enlacent les lettres A et L. Dans l’axe de l’entrée, cantonnée de piliers calcaires à rue, travée centrale en ressaut, ouverte par une porte bâtarde ornée de motifs gravés sur les vitres, et monumentalisée par le balcon reposant sur des consoles et le pignon à gradins sommé d’un acrotère qui traverse la toiture. CS ""
IPIC 92097-INV-0104-04
";Ohey;Ohey;Rue du Tilleul, 95;50.436491;5.120495;Ohey-Cat18-AcrotèreMaisonRosoux-AD-01Ohey-Cat18-AcrotèreMaisonRosoux-AD-02;Ohey-Cat18-AcrotèreMaisonRosoux-AD
Ancre de l'ancienne maison Rosoux;Ancre ouvragée en fer forgé, située au sommet de la façade avant, au-dessus de la date de construction;""" Précédée d’une cour limitée d’un muret surmonté de grilles ouvragées, maison bourgeoise de style éclectique élevée en 1895, aujourd’hui investie par les services communaux (…) ""
IPIC 92097-INV-0104-03

L'ancienne maison Rosoux était dénommée Villa Groynne, du nom de la famille qui l'a fait bâtir en 1895 grâce à la vente de leurs actions des chemins de fer en Russie. Par héritage, elle passa à Juliette Groynne (fille de Léon et de Félicie Monjoie), épouse d'André Rosoux. Le 18 juin 1986, la Commune d'Ohey a acheté le bien (3 Ha, 7 A, 8 Ca) à Etienne Rosoux pour 3.756.380 francs.
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, p.14.";Ohey;Ohey;Rue du Tilleul, 95;50.436491;5.120495;Ohey-Cat10.1-AncreMaisonRosoux-AD-01Ohey-Cat10.1-AncreMaisonRosoux-AD-02;Ohey-Cat10.1-AncreMaisonRosoux-AD
Ancres de la ferme de la Belle Alliance;"Quatre belles ancres, de deux types, en façade du logis ""néo-classique"" de cette ferme bâtie dans la 2e moitié du 19e siècle. ";""" Légèrement à l’écart du village, ferme en quadrilatère construite en brique sur un soubassement en moellons de grès ferrugineux, qui s’est développée autour d’une cour dans la 2e moitié du 19e siècle. Dans cet ensemble agrémenté de grands arbres et accessible par deux porches en anse de panier, seule l’aile à rue, parallèle à la voirie et longée d’un trottoir pavé, conserve un intérêt patrimonial. Etabli en double corps et d’inspiration néo-classique, le logis est coiffé d’une toiture à deux versants. Le volume est homogène et bien équilibré, percé de baies rectangulaires dégressives en calcaire munies de châssis à petit-bois et porte, de même type, précédée d’un degré. De part et d’autre, une aile basse de même type encadre harmonieusement le volume principal. CS  ""
IPIC : 92097-INV-0145-01";Ohey;Perwez;Rue du Bois de Goesnes, 61;50.459498;5.183896;Perwez-Cat10.1-AncresFermeBelleAlliance-AF-01Perwez-Cat10.1-AncresType1FermeBelleAlliance-AF-02Perwez-Cat10.1-AncresType2FermeBelleAlliance-AF-03;Perwez-Cat10.1-AncresFermeBelleAlliance-AF
Ancres de la grange du château-ferme;Deux belles ancres visibles en façade de la grange en large du château-ferme donnant sur l'actuelle rue du Bâtis du Moulin;""" A l’extrémité orientale du village, ancien château-ferme du 2e tiers du 18e siècle daté sur la porte de grange de 1740. Organisé en U autour d’une cour, les différents volumes construits en brique et calcaire sous toits gris confèrent à l’ensemble une belle homogénéité. (...) ""
IPIC : 92097-INV-0045-02";Ohey;Perwez;Rue du pré Magnette, 13;50.453161;5.175653;Perwez-Cat10.1-AncresGrangeChâteauFerme-AF-01Perwez-Cat10.1-AncresGrangeChâteauFerme-AF-02;Perwez-Cat10.1-AncresGrangeChâteauFerme-AF
Ancres de l'église Saint-Pierre;En faisant le tour de l'église, on peut observer :- Cinq ancres en façade (trois manquent)- Une ancre au transept Nord (cinq manquent)- Cinq ancres sur la sacristie- Cinq ancres au mur de la chapelle de la Vierge (une manque)- Quatres ancres au transept Sud (une manque);""" Implantée au coeur stratégique du village, à proximité de la maison communale, de l’école et de la cure, église de style néo-gothique construite en 1890 par l’architecte Hellepute. Vaste édifice de plan principalement basilical, équipé d’une tour campanile (...) ""
IPIC 92097-INV-0052-02

Le 15 juillet 1889, la première pierre de l'église fut posée  par le bourgmestre Francis de Monge. Le montant fut adjugé à 60.539 francs. En remerciement, les paroissiens ont organisé une manifestation populaire grandiose en l’honneur du bourgmestre.
Source : Pierre Vos (dir.), Ohey autrefois. Cartes postales et documents inédits, Edition Syndicat d'Initiative d'Ohey, 1998, p.153.";Ohey;Ohey;Place Roi Baudouin, église;50.435667;5.120934;Ohey-Cat10.1-AncresEgliseStPierre-AD-01Ohey-Cat10.1-AncresEgliseStPierre-AD-02Ohey-Cat10.1-AncresEgliseStPierre-AD-03Ohey-Cat10.1-AncresEgliseStPierre-AD-04Ohey-Cat10.1-AncresEgliseStPierre-AD-05Ohey-Cat10.1-AncresEgliseStPierre-AD-06;Ohey-Cat10.1-AncresEgliseStPierre-AD
Anneau d'attelage de l'ancien Hôtel Lefêbvre ;Anneau d'attelage situé à gauche d'une ancienne porte cochère aujourd'hui transformée;Non vérifié;Ohey;Ohey;Rue de Ciney, 9;50.430251;5.126029;Ohey-Cat18-AnneauAttelageHôtelLefebvre-JD-01Ohey-Cat18-AnneauAttelageHôtelLefebvre-JD-02;Ohey-Cat18-AnneauAttelageHôtelLefebvre-JD
Anneau d'attelage du n°60 chaussée de Ciney;Un anneau d'attelage à gauche de la porte d'entrée;Pas d'information trouvée;Ohey;Ohey;Rue de Ciney, 60;50.433962;5.124576;Ohey-Cat18-AnneauAttelageChéeCiney60-AD-01Ohey-Cat18-AnneauAttelageChéeCiney60-AD-02;Ohey-Cat18-AnneauAttelageChéeCiney60-AD
Anneau d'attelage du n°88 chaussée de Ciney;Un anneau d'attelage scellé dans le mur de la maison à droite de la porte d'entrée;Pas d'information trouvée;Ohey;Ohey;Rue de Ciney, 88;50.437148;5.123001;Ohey-Cat18-AnneauAttelageChéeCiney88-AD-01Ohey-Cat18-AnneauAttelageChéeCiney88-AD-02;Ohey-Cat18-AnneauAttelageChéeCiney88-AD
Anneaux d'attelage du n° 185 chaussée de Ciney;A gauche de la porte d'entrée, deux anneaux d'attelage scellés dans le soubassement calcaire permettaient de lier le bétail.;"Cette maison était jadis un café appelé ""Café oriental"". Un arrêt du tram était également présent à cet endroit.";Ohey;Ohey;Rue de Ciney, 185;50.40339;5.11963;Ohey-Cat18-AnneauxAttelageCiney185-AF-01àOhey-Cat18-AnneauxAttelageCiney185-AF-05;
